ID,Start time,Completion time,Email,Name,Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.",Use of digital learning tools is responsible for my low academic performance.,"The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
378,6/13/20 12:32:53,6/13/20 12:38:26,anonymous,,Female,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
379,6/13/20 12:34:43,6/13/20 12:39:53,anonymous,,Female,Third/Junior,18-24,80-89 / 3-3.49,Other,Mobile phone,1-3 ,9-12,Uncertain,Strongly Disagree,Uncertain,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Uncertain,Strongly Disagree,Disagree,"Uncertain	","Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
380,6/13/20 12:37:44,6/13/20 12:40:26,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,3-6,3-6,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
381,6/13/20 12:42:13,6/13/20 12:43:39,anonymous,,Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,+12,Uncertain,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
382,6/13/20 12:43:45,6/13/20 12:45:46,anonymous,,Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Agree,Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
383,6/13/20 12:50:19,6/13/20 12:55:33,anonymous,,Male,Second/ Sophomore,18-24,60-69 / 2-2.49,Mobile phone,Laptop,3-6,3-6,Uncertain,Agree,Strongly Agree,Uncertain,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Agree
384,6/13/20 13:01:10,6/13/20 13:09:16,anonymous,,Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Disagree,Uncertain,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
385,6/13/20 13:11:51,6/13/20 13:15:13,anonymous,,Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,3-6,3-6,Agree,Agree,Uncertain,Uncertain,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Uncertain	","Agree	","Uncertain	","Agree	",Agree,Agree,Strongly Agree,Uncertain,Agree,Agree,Agree,Strongly Agree,Strongly Disagree
386,6/13/20 13:23:05,6/13/20 13:27:01,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,I pad/ Tablet,I pad/ Tablet,1-3 ,3-6,Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Uncertain,Uncertain,Agree,Uncertain,Strongly Agree,"Uncertain	","Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
387,6/13/20 13:30:43,6/13/20 13:33:35,anonymous,,Female,First/Freshman,18-24,60-69 / 2-2.49,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
388,6/13/20 13:41:55,6/13/20 13:44:57,anonymous,,Female,Second/ Sophomore,18-24,60-69 / 2-2.49,Mobile phone,Mobile phone,1-3 ,+12,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
389,6/13/20 13:59:11,6/13/20 14:05:02,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,3-6,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
390,6/13/20 14:07:26,6/13/20 14:08:57,anonymous,,Male,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,9-12,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
391,6/13/20 14:05:12,6/13/20 14:09:31,anonymous,,Male,Third/Junior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree
392,6/13/20 14:09:42,6/13/20 14:12:23,anonymous,,Male,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
393,6/13/20 14:16:14,6/13/20 14:21:11,anonymous,,Male,Fourth/Senior,+30,80-89 / 3-3.49,Mobile phone,Mobile phone,3-6,9-12,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
394,6/13/20 14:32:25,6/13/20 14:40:35,anonymous,,Female,First/Freshman,18-24,60-69 / 2-2.49,Mobile phone,Mobile phone,3-6,6-9,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
395,6/13/20 15:02:31,6/13/20 15:07:49,anonymous,,Female,Third/Junior,+30,80-89 / 3-3.49,Laptop,Laptop,6-9,6-9,Strongly Agree,Agree,Uncertain,Uncertain,Strongly Agree,Agree,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree
396,6/13/20 15:16:49,6/13/20 15:22:49,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Other,Mobile phone,1-3 ,+12,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
397,6/13/20 15:22:53,6/13/20 15:25:03,anonymous,,Male,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,+12,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
398,6/13/20 15:25:06,6/13/20 15:26:43,anonymous,,Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
399,6/13/20 15:29:04,6/13/20 15:29:04,anonymous,,Male,Third/Junior,18-24,70-79 / 2.5-299,I pad/ Tablet,Laptop,1-3 ,9-12,Agree,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
400,6/13/20 15:29:07,6/13/20 15:30:36,anonymous,,Male,Third/Junior,18-24,60-69 / 2-2.49,I pad/ Tablet,Laptop,1-3 ,9-12,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
401,6/13/20 15:57:34,6/13/20 16:01:38,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Other,Laptop,3-6,+12,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Uncertain,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
402,6/13/20 16:28:26,6/13/20 16:32:22,anonymous,,Male,Fourth/Senior,18-24,60-69 / 2-2.49,Laptop,Laptop,1-3 ,6-9,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Agree	",Strongly Agree,"Agree	",Disagree,Disagree,Agree,Agree,,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
403,6/13/20 16:53:02,6/13/20 16:58:19,anonymous,,Female,Fourth/Senior,18-24,+90 / +3.5,Mobile phone,Mobile phone,6-9,9-12,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
404,6/13/20 16:53:54,6/13/20 16:58:53,anonymous,,Female,Second/ Sophomore,18-24,+90 / +3.5,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Uncertain,Uncertain,"Uncertain	","Uncertain	","Agree	","Agree	",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree
405,6/13/20 17:01:55,6/13/20 17:05:34,anonymous,,Female,Fourth/Senior,18-24,60-69 / 2-2.49,Mobile phone,Mobile phone,1-3 ,1-3 ,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Strongly Agree,Uncertain,Agree,Agree,Agree,Uncertain,Disagree
406,6/13/20 17:06:06,6/13/20 17:09:44,anonymous,,Male,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,+12,+12,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
407,6/13/20 17:34:12,6/13/20 17:38:25,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
408,6/13/20 15:46:54,6/13/20 18:17:41,anonymous,,Male,Second/ Sophomore,18-24,60-69 / 2-2.49,Mobile phone,Laptop,3-6,3-6,Uncertain,Uncertain,Strongly Agree,Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
409,6/13/20 18:16:03,6/13/20 18:18:48,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,9-12,Uncertain,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
410,6/13/20 18:17:15,6/13/20 18:21:53,anonymous,,Female,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Personal Computer,1-3 ,3-6,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
411,6/13/20 18:33:16,6/13/20 18:36:51,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,I pad/ Tablet,Laptop,1-3 ,6-9,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
412,6/13/20 18:42:57,6/13/20 19:04:45,anonymous,,Female,Second/ Sophomore,18-24,+90 / +3.5,Laptop,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
413,6/13/20 19:03:35,6/13/20 19:07:10,anonymous,,Female,Third/Junior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,6-9,1-3 ,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
414,6/13/20 19:39:20,6/13/20 19:41:40,anonymous,,Male,Second/ Sophomore,18-24,60-69 / 2-2.49,Mobile phone,Laptop,1-3 ,3-6,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
415,6/13/20 19:44:37,6/13/20 19:46:50,anonymous,,Male,First/Freshman,25-30,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,1-3 ,Uncertain,Uncertain,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Uncertain,Uncertain,Disagree,"Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
416,6/13/20 19:44:07,6/13/20 19:47:01,anonymous,,Male,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Laptop,6-9,9-12,Strongly Agree,Strongly Agree,Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
417,6/13/20 19:46:21,6/13/20 19:48:59,anonymous,,Female,Third/Junior,18-24,+90 / +3.5,Laptop,Laptop,9-12,+12,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Uncertain,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Uncertain,Uncertain,Agree,Strongly Agree
418,6/13/20 19:40:18,6/13/20 19:49:42,anonymous,,Male,Third/Junior,18-24,+90 / +3.5,Laptop,Laptop,1-3 ,3-6,Agree,Agree,Disagree,Disagree,Uncertain,Uncertain,Agree,Agree,Agree,Agree,Disagree,"Agree	","Agree	","Agree	",Uncertain,Strongly Agree,Agree,Uncertain,Agree,Uncertain,Strongly Disagree,Agree,Strongly Disagree
419,6/13/20 19:41:55,6/13/20 19:52:39,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,6-9,9-12,Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Disagree,Uncertain,Agree,Uncertain,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
420,6/13/20 19:56:46,6/13/20 20:00:28,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,6-9,9-12,Agree,Strongly Agree,Agree,Uncertain,Uncertain,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,"Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
421,6/13/20 20:00:12,6/13/20 20:01:17,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Laptop,Mobile phone,3-6,1-3 ,Strongly Agree,Agree,Uncertain,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
422,6/13/20 20:01:28,6/13/20 20:03:32,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,6-9,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Uncertain,Uncertain,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
423,6/13/20 19:58:26,6/13/20 20:03:38,anonymous,,Female,Other,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,1-3 ,Disagree,Disagree,Agree,Strongly Agree,Uncertain,Uncertain,Uncertain,Uncertain,Agree,Agree,"Uncertain	","Uncertain	",Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree
424,6/13/20 19:59:33,6/13/20 20:04:08,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,6-9,Strongly Agree,Strongly Agree,Strongly Disagree,Uncertain,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
425,6/13/20 20:01:19,6/13/20 20:04:52,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,6-9,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Agree	","Uncertain	",Disagree,Agree,Agree,Agree,Uncertain,Uncertain,Disagree,Uncertain,Uncertain,Disagree
426,6/13/20 19:51:19,6/13/20 20:08:25,anonymous,,Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Other,Laptop,6-9,1-3 ,Uncertain,Strongly Agree,Agree,Uncertain,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
427,6/13/20 20:06:08,6/13/20 20:09:38,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,I pad/ Tablet,1-3 ,3-6,Disagree,Disagree,Agree,Agree,Agree,Disagree,Uncertain,Agree,Disagree,Agree,"Agree	","Agree	","Uncertain	",Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
428,6/13/20 20:01:25,6/13/20 20:17:46,anonymous,,Female,Second/ Sophomore,25-30,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
429,6/13/20 20:18:00,6/13/20 20:18:58,anonymous,,Female,Second/ Sophomore,25-30,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,3-6,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
430,6/13/20 20:19:05,6/13/20 20:19:49,anonymous,,Female,Second/ Sophomore,18-24,60-69 / 2-2.49,Laptop,Mobile phone,1-3 ,1-3 ,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
431,6/13/20 20:19:55,6/13/20 20:20:48,anonymous,,Female,Second/ Sophomore,18-24,+90 / +3.5,Mobile phone,Laptop,1-3 ,9-12,Agree,Uncertain,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,"Uncertain	","Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
432,6/13/20 20:19:17,6/13/20 20:22:20,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,3-6,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Disagree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
433,6/13/20 20:22:09,6/13/20 20:25:05,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,6-9,6-9,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
