ID,Start time,Completion time,Email,Name,Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.",Use of digital learning tools is responsible for my low academic performance.,"The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
62,6/12/20 20:19:41,6/12/20 20:23:49,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,9-12,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	","Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
63,6/12/20 20:18:34,6/12/20 20:24:11,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Laptop,Laptop,6-9,6-9,Uncertain,Strongly Agree,Disagree,Disagree,Agree,Agree,Uncertain,Agree,Agree,Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Agree,Uncertain,Strongly Agree,Agree,Disagree
64,6/12/20 20:18:18,6/12/20 20:24:16,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,+12,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
65,6/12/20 20:21:46,6/12/20 20:25:35,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Other,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Uncertain,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
66,6/12/20 20:21:44,6/12/20 20:29:21,anonymous,,Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,+12,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
67,6/12/20 20:28:06,6/12/20 20:31:31,anonymous,,Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Uncertain,Agree,Uncertain,Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Uncertain,Disagree,Uncertain,Strongly Agree,Agree,Uncertain
68,6/12/20 20:26:10,6/12/20 20:33:24,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Agree,Disagree
69,6/12/20 20:29:01,6/12/20 20:33:31,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Uncertain,Strongly Agree,Disagree,"Agree	",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
70,6/12/20 20:32:47,6/12/20 20:35:56,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,9-12,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
71,6/12/20 20:34:22,6/12/20 20:36:57,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,3-6,1-3 ,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree
